full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code-action,7735,7735,1864,5,5,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10504,10504,1844,10,10,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2737,2737,1695,11,11,3,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,314,314,608,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
diet103/claude-code-infrastructure-showcase,9662,9662,1223,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9198,9198,702,3,3,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8474,8474,639,2,2,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1151,1151,2371,4,4,4,https://github.com/pedrohcgs/claude-code-my-workflow
hangsman/claude-code-source,780,780,1750,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2511,2511,2331,3,3,3,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3402,3402,732,4,4,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5921,5921,561,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
affaan-m/ECC,193014,193014,29834,667,667,64,https://github.com/affaan-m/ECC
huangserva/claude-code-cli,588,588,1306,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3807,3807,560,1,1,0,https://github.com/OneRedOak/claude-code-workflows
alex000kim/claude-code,227,227,330,0,0,0,https://github.com/alex000kim/claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,10670,10670,1008,40,40,2,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
xorespesp/claude-code,225,225,314,0,0,0,https://github.com/xorespesp/claude-code
1rgs/claude-code-proxy,3605,3605,469,2,2,0,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1614,1614,632,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
nicedreamzapp/claude-code-local,2688,2688,515,0,0,0,https://github.com/nicedreamzapp/claude-code-local
FlorianBruniaux/claude-code-ultimate-guide,4489,4489,596,6,6,2,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
zebbern/claude-code-guide,4168,4168,407,0,0,-1,https://github.com/zebbern/claude-code-guide
VineeTagarwaL-code/claude-code,275,275,268,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
777genius/claude-code-source-code,912,912,1109,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3709,3709,615,2,2,0,https://github.com/disler/claude-code-hooks-mastery
Maciek-roboblog/Claude-Code-Usage-Monitor,8068,8068,411,2,2,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
anthropics/claude-code-security-review,4828,4828,479,9,9,0,https://github.com/anthropics/claude-code-security-review
kodu-ai/claude-coder,5273,5273,199,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2371,2371,407,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
Windy3f3f3f3f/how-claude-code-works,2476,2476,586,9,9,3,https://github.com/Windy3f3f3f3f/how-claude-code-works
freestylefly/claude-code,125,125,298,0,0,-1,https://github.com/freestylefly/claude-code
fuergaosi233/claude-code-proxy,2620,2620,384,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2632,2632,386,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
alejandrobalderas/claude-code-from-source,2120,2120,622,6,6,1,https://github.com/alejandrobalderas/claude-code-from-source
Tinkeringg-Lab/claude-code,205,205,237,0,0,0,https://github.com/Tinkeringg-Lab/claude-code
multica-ai/andrej-karpathy-skills,155723,155723,15972,775,775,88,https://github.com/multica-ai/andrej-karpathy-skills
ding113/claude-code-hub,2922,2922,329,3,3,0,https://github.com/ding113/claude-code-hub
rohitg00/awesome-claude-code-toolkit,1823,1823,579,3,3,2,https://github.com/rohitg00/awesome-claude-code-toolkit
anthropics/skills,140881,140881,16646,191,191,26,https://github.com/anthropics/skills
fazxes/Claude-code,216,216,212,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2775,2775,311,0,0,0,https://github.com/Cranot/claude-code-guide
mehmoodosman/claude-code,168,168,216,0,0,0,https://github.com/mehmoodosman/claude-code
isboyjc/claude-code,157,157,218,0,0,0,https://github.com/isboyjc/claude-code
SeemSeam/claude_codex_bridge,2771,2771,275,3,3,1,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1425,1425,519,2,2,1,https://github.com/luyao618/Claude-Code-Source-Study
AprilNEA/claude-code-source,384,384,616,0,0,0,https://github.com/AprilNEA/claude-code-source
https-deeplearning-ai/sc-claude-code-files,519,519,747,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-base-action,847,847,605,0,0,0,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,1060,1060,367,2,2,0,https://github.com/repowise-dev/claude-code-prompts
JrCx7scC/claude-code-source,369,369,548,1,1,0,https://github.com/JrCx7scC/claude-code-source
guanshan/ClaudeCode,59,59,213,0,0,0,https://github.com/guanshan/ClaudeCode
luongnv89/claude-howto,34214,34214,4181,31,31,5,https://github.com/luongnv89/claude-howto
edmund-io/edmunds-claude-code,1444,1444,285,0,0,0,https://github.com/edmund-io/edmunds-claude-code
lowcortisolprogrammer/claude-code,171,171,163,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
Yeachan-Heo/oh-my-claudecode,34857,34857,3187,24,24,1,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3744,3744,267,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
carlvellotti/claude-code-pm-course,2045,2045,329,2,2,0,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,501,501,401,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
Windy3f3f3f3f/claude-code-from-scratch,1268,1268,375,3,3,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
andrew-kramer-inno/claude-code-source-build,590,590,525,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
ghuntley/claude-code-source-code-deobfuscation,977,977,550,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sickn33/antigravity-awesome-skills,38720,38720,6299,36,36,7,https://github.com/sickn33/antigravity-awesome-skills
feiskyer/claude-code-settings,1523,1523,222,1,1,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1123,1123,245,0,0,1,https://github.com/sugyan/claude-code-webui
darcyegb/ClaudeCodeAgents,701,701,63,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
wshobson/agents,35953,35953,3908,12,12,0,https://github.com/wshobson/agents
disler/pi-vs-claude-code,1228,1228,302,3,3,0,https://github.com/disler/pi-vs-claude-code
anthropics/claude-plugins-official,27852,27852,2964,93,93,8,https://github.com/anthropics/claude-plugins-official
nanocoai/nanoclaw,29406,29406,12874,10,10,0,https://github.com/nanocoai/nanoclaw
Hyper66666/claude-code-sourcemap,215,215,458,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
alirezarezvani/claude-skills,16202,16202,2235,16,16,4,https://github.com/alirezarezvani/claude-skills
KPR111/Claude-Code,17,17,330,0,0,0,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2355,2355,223,1,1,0,https://github.com/centminmod/my-claude-code-setup
huangjia2019/claude-code-engineering,705,705,262,2,2,2,https://github.com/huangjia2019/claude-code-engineering
snarktank/ralph,19567,19567,1949,18,18,1,https://github.com/snarktank/ralph
jeremylongshore/claude-code-plugins-plus-skills,2242,2242,310,2,2,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
catlog22/Claude-Code-Workflow,2039,2039,162,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
